Gene,P-value
SRF,0.026642703045816285
LRP10,0.011500401135569827
FASLG,0.0495275033727961
LOC102724185,0.03819494045422256
FAM65A,0.02660875322281464
TOR2A,0.04630350075620582
TCAF2,0.02217158684965015
TF,0.041024600417959745
VWF,0.022964368333577845
EDN3,0.0379123730279286
NKG7,0.03225974451798597
FHOD1,0.03021248256765352
GNA14,0.040158893346480595
GPR108,0.032754582722350545
MBD3L2,0.030415721982690935
TMEM8A,0.04189792723874697
LTC4S,0.021738940990844502
ZMAT4,0.010764654318841105
TTTY14,0.016224606854447376
EFCAB12,0.0308600548691067
EMX1,0.017695088551749283
MFSD9,0.028858981650439985
SPATC1L,0.023516999994861676
CYP4B1,0.030732665924990465
KLRC2,0.03189676114655948
TF,0.019415850436408477
POLD4,0.04834541766325773
LINC00626,0.00015468390388528874
ASRGL1,0.02435511612252106
UNC5C,0.03848781315859384
RASGRP4,0.01345010404695357
CEP170B,0.012936150760946452
DEFB125,0.022502637591974572
F2RL2,0.010366248124297872
NYX,0.027540790861806386
MKNK2,0.0185916647623644
COL5A3,0.028281892995692393
NUMBL,0.02826912320130448
DAO,0.04059730730824007
CSF2RB,0.03675721306493718
FBXO17,0.018139579613254075
USHBP1,0.04877196529049088
ACTG1P4,0.023967767692018138
CMKLR1,0.018948423836463446
B3GNT4,0.025079523525435632
SLC22A23,0.0041958713871480535
GRIK2,0.04550742086951931
TEAD3,0.044295156689204696
TIAM1,0.001966987581937474
ZNF213,0.0011727881739137525
TUBA3FP,0.04506058846543193
JARID2-AS1,0.030573237553721433
SULT1A4,0.012118848610091604
STK4-AS1,0.0358363265972661
TMEM150C,0.0263204052709769
OR7D2,0.011329914308004785
OSCP1,0.030009778851987523
KCNG1,0.03601594204040248
PRKD2,0.019026788766391523
SPINK7,0.006797435992678569
SPTY2D1-AS1,0.023324997545161263
WNT7A,0.041558356782617434
ACTN1,0.0076205685297331405
TMEM80,0.03853219961124921
PEBP4,0.035116867857748923
SERPINB13,0.043099282432416564
CCL5,0.007419555198425409
THEMIS2,0.012817002189252191
MAP3K3,0.04007346711825932
SDCBP2,0.02749561235817244
MARK2,0.024558983238448406
NCKAP5L,0.04652392431683394
PTPN6,0.012511442801866224
HIST1H3D,0.035347363153762745
AGER,0.027296749079767868
CYHR1,0.0403884108681154
PGS1,0.016583559984833407
AKAP5,0.006598367746240785
ZNF415,0.01917285416810599
BIN3,0.031123422391441946
ZNF471,0.028635888086289474
MEGF6,0.035982766301809965
DTWD2,0.028989509946541148
IRS2,0.011935855576247323
CCL8,0.03762045860646934
EOMES,0.01309285715997488
MBOAT7,0.02319344272321122
MTFP1,0.020516980618946024
TREML2,0.041970434341100704
SLC9A9,0.03561844614129572
ZBTB47,0.019192468306717614
PPP2R2B,0.04446797636106381
ARHGAP24,0.045512449554062084
ADD1,0.04817087699446132
CHRD,0.04392112554726202
ACTN1,0.006847077398241197
KIF19,0.024923459653822255
ZFP30,0.04096379979796749
EPOR,0.03676511287522377
CCK,0.03072626108091192
LINC01506,0.03558577438806532
ZBTB47,0.03040956154168528
CACNG8,0.04503227233388618
IDS,0.038740545739604615
ALDH3B2,0.049845411092426684
HGSNAT,0.04327859545738055
HECW2,0.04627290051238353
LRP10,0.046687826280096933
NREP,0.021130251634884467
GFRA2,0.02679536235988078
CECR2,0.04759889696219455
TLN1,0.044228467046889874
TBX20,0.04517976584242023
AMPD2,0.026533374027070566
RNASET2,0.019296981867962026
HIST1H1C,0.004776606067204314
LINC00944,0.03970370852810079
ARAP1,0.03428202908797762
CORO1A,0.02160786841207918
MIF,0.024630717823479142
KLHDC9,0.021255142237280866
ZBTB48,0.03950867503928768
HLA-C,0.02604580432312853
WDR93,0.027595836136515506
KCNK15,0.0281539737435873
ZDHHC21,0.016667033992709746
SNED1,0.003959400449642714
LOC101928731,0.0407654020388577
ACTN3,0.0014130114348854805
MCF2L-AS1,0.015317198767344276
TNRC18,0.007890445160040449
MCEMP1,0.028977016156359725
CDH26,0.03075781748729811
COL9A2,0.016562388913055615
SEMA6A,0.029980893248202523
SERPINA1,0.039629160586774015
CMKLR1,0.017926678888063097
MCF2L,0.04729040540408713
HSPC081,0.001878806965987856
MROH7,0.00478694239088262
ZDHHC11,0.04785609881885777
HIST1H1D,0.017158141066495936
KIRREL,0.020091293046802905
HOXC13,0.019117058932517472
GPR114,0.042588576575118164
ZC3HAV1L,0.04240108993441216
NRAV,0.04821397022974361
GFAP,0.03966452553901634
SULT1A1,0.004714011003959406
LSR,0.04405919030360106
TLR3,0.031055361438692364
CCER1,0.04789151121711621
CYP4F8,0.037922982196141986
BTNL9,0.035940671114609635
SLC17A7,0.011919023480588153
C1QB,0.026874369476443727
LOC100507316,0.04402001586796622
MYOM1,0.02725634538201005
S1PR5,0.01588250173647021
CNTNAP5,0.039402838161487486
AK1,0.01856575366318236
HHLA3,0.006777832844454212
ANKRD34A,0.04188447644875082
LOC389641,0.03964391976810866
SLC4A10,0.01113864364329853
GZMB,0.026671000698406666
OSBPL1A,0.03539904767931179
PADI2,0.012234240720740752
KIAA1211L,0.020185605204522394
SHISA9,0.03216970279329179
TRIM10,0.013306671603075637
FADS2,0.03213088619737148
MUC4,0.016693825109469818
PMEL,0.028579057392848828
DACT3,0.023329560490322532
ALPP,0.007509281677067325
OTUD7B,0.03618659486457465
GM2A,0.011833869245002626
STXBP2,0.04687308591048345
TTC38,0.046744600022428306
CACNG3,0.039245678701141484
SLC46A2,0.033167144161827866
INSM1,0.0018726072987939046
EFCAB6,0.04335014294632211
CYP11B1,0.03292697810072087
RASA4,0.008019367799637855
MVB12B,0.02540343095156239
SYCE3,0.033479288602229706
ADAM33,0.029468097181247543
RARA-AS1,0.03822021607744808
SLC9A9,0.03200169216629023
WNT2B,0.04313290690382021
MYBPC3,0.011532267402004526
LINC01573,0.011746565332338643
ITGA5,0.029387041239318346
CCDC3,0.03910711742436168
GZMK,0.03156894606417171
CENPVP2,0.03499600608506037
CHRDL1,0.02774275259859782
CYP2S1,0.010692199512708167
LINC00527,0.04814231029490912
KISS1,0.030292579849507284
C9orf57,0.04538241559345402
FES,0.017780721913657094
LILRB4,0.006998839496052733
CDC42BPA,0.029401474093985414
JAKMIP2,0.04135430678047758
TCL6,0.00022281831452664047
RPS6KA2,0.041885537667267214
GM2A,0.04837863448740287
AQP10,0.0075674986523889265
GPI,0.008820583529433601
KCNK10,0.03807722904527844
PRORY,0.028685603506471202
PDLIM3,0.028330726077494095
YAP1,0.03415739584744415
GPR68,0.018029569219297326
GZMH,0.04517255398753428
XCR1,0.04226488739247525
NFATC2,0.027502864040365393
KLRG1,0.005221732554314573
OR52K2,0.04036457152110473
GLI2,0.03340481344822366
UNC45B,0.008461070869635323
TCAF2,0.03107036947848152
KLRD1,0.04676284190708524
TRDN,0.01848751224021572
PIGR,0.035609767474961584
GRN,0.03527362271222001
PGS1,0.03588264529317742
TTTY21,0.021984606616214264
NABP2,0.0446430500896291
CMKLR1,0.027490806464801065
OPRL1,0.011021398216040534
HEATR9,0.02436629085409059
MYBL1,0.0007923489381861382
LOC101927181,0.03618755876923596
MIDN,0.006916520858197939
RBM47,0.03956343733926582
OVCH1-AS1,0.012331161369793842
TMEM249,0.02347977112047861
SLC4A4,0.0013043733458624196
TGFBR3,0.04687889304949122
VWA1,0.03868068003464242
LINC00520,0.02190535658434989
GYPA,0.032898790921724985
AK4,0.016038737291418137
GBX2,0.04998023759877879
LANCL3,0.03475661775267758
Sep-08,0.03225783427111639
FSCN1,0.01189997636688489
C1QTNF1,0.03724853008017559
TMPRSS11GP,0.04629903529955903
SCAI,0.03419101469925345
ABCG4,0.02979541291221821
CDHR1,0.02947755239707206
ADAMTS3,0.023055401925916263
PDE9A,0.00515671495182124
MOBP,0.02092411038185238
SCN8A,0.044399393628790196
AWAT1,0.019449050703220117
NUDT11,0.006780152069254974
PILRA,0.014942342123356878
TTC23,0.003939668095929938
C12orf54,0.01087382146378657
IRX6,0.039721466003192485
PACSIN1,0.022459830974560835
PZP,0.043665178316718345
DNM3OS,0.007880660626127023
HNF4A,0.04930316459361439
ARHGAP24,0.03935234833943446
GFER,0.021619074381159842
CCDC171,0.028325351003228305
HCRT,0.049837288285478065
MOB3B,0.018042047406773287
PPBPP2,0.04735816641409751
LOC101929229,0.03969301944381043
FBRS,0.010201297360532546
GZMA,0.03522801117993657
DPY19L2P2,0.020335613811739317
MUC4,0.03354177013517978
FOXP2,0.04211920589148799
OLIG1,0.04703141368285235
GPR97,0.013924186598481159
C6orf118,0.020693651692046622
GREM1,0.04545034227950562
VSIG10,0.023872326190027993
CYR61,0.03970844221459846
IL33,0.030569001880283997
ACAD10,0.03752756012751235
SP3,0.008270385595491203
MGAT4D,0.02286167208194101
LCAT,0.04630436373769875
RARRES2,0.042109659507106656
HIST1H1E,0.028724587779380695
PIK3R6,0.0173535320743482
OSBPL6,0.043695784668206006
SERPINB11,0.02108567561343344
MYBL1,0.010450872937037725
TPRG1,0.04584043935741344
ACVR1B,0.03774770071099276
RCVRN,0.004899214476077218
GNAT1,0.02212197308615671
RILP,0.013006295382249289
LRRN3,0.029052086225310747
SNED1,0.009637825372639797
COL27A1,0.037684886956259045
DRC7,0.0469298750577426
SYTL4,0.024895727604330786
ATP1B1,0.03907942728460012
MYBL1,0.0032843737549421714
FAM214B,0.039581214843951384
PRSS21,0.016120565486200444
KLRC4,0.022404942753250112
ASB13,0.03851001681974686
MEG3,0.010332722013311701
CCDC62,0.018529946881234327
SEMA4B,0.004753541774311532
GABRG3,0.04925173465022137
POLM,0.031040014140110705
BANCR,0.027159103309532973
MEF2D,0.019279110282969802
MYO15B,0.028427688655933037
FAM81A,0.018258052889335574
CORIN,0.021819967580051225
G6PD,0.02442397547668862
JSRP1,0.016168527248665576
SLC12A3,0.015059000240442488
TNNI3,0.025049269675619268
CENPL,0.02429990496344192
HIPK3,0.035772157895599954
RASGRP4,0.005627355266910827
WDR62,0.044062621933845136
KATNAL2,0.029969686688562036
RHBDD2,0.04259248945945626
SLAMF7,0.025380032679229725
JAKMIP1,0.04810409525637316
KHDRBS3,0.03360071875217763
PON1,0.040947576572837874
LINC00466,0.04075138892860519
PIP,0.02657158893252709
FAM95A,0.0001349089682542992
CITED4,0.005065332281422585
LPAR2,0.0006119187426033568
C1orf115,0.030112932595985575
DTHD1,0.0472269723701062
KIAA0930,0.0406790305015714
LAG3,0.04148413343258839
GOLGA8R,0.017929835176239806
C8orf34,0.044833059738078385
MYO15B,0.0035861557050094195
MAPRE3,0.03984041726157683
PTGDR,0.03639234270161884
KBTBD12,0.03411778041862612
C1QA,0.022647740176714115
SH2D1A,0.02606646208668484
PRAM1,0.04062051759187868
CDKN2B,0.04652370849406451
EMILIN3,0.02118909052875184
FAM162A,0.04054791408590286
GNLY,0.018016835597174596
CSF3R,0.03294881221233281
C16orf93,0.03475978122841439
SERPINB9,0.032407009203701875
LINC00339,0.04845770562088669
C18orf12,0.021722645517454175
RNASET2,0.04809572193714429
JAM2,0.048525281461267666
TWF2,0.04425916459002166
SLC22A18,0.037361236430233924
IRS2,0.022113340311133656
TBC1D2,0.03245985894922876
NRCAM,0.04633521809562724
STH,0.03763729642199243
GPR83,0.04283155329712851
LINC00461,0.0352318613404925
EXOC3,0.023391626910566066
ARHGEF4,0.004366667659283063
CECR1,0.028966062840226958
CDA,0.020825293045863225
ASB13,0.032650944170448115
TDRD12,0.03632071606954834
HNF1A,0.04553052496025045
RASAL2,0.016299410382163426
PIANP,0.04744071177589693
RGL3,0.019689079307509516
LINC00942,0.04315343892774848
LOC100131496,0.04835018590301743
XCL1,0.04119012534358979
NMUR1,0.04068125192461236
ABHD2,0.031120515944017768
CSRNP3,0.04637305916117862
KLRG1,0.010597694548721726
VIL1,0.03827144984597841
CYP4F2,0.014837796619487587
DKFZP434L187,0.03330067927423397
MESP1,0.008072433764956366
WWTR1,0.01881222213176692
PADI2,0.012470142577854837
STARD13,0.018499648882568054
PLAC4,0.01626294013769769
PDLIM7,0.03349357211209025
GRPR,0.026317659611271305
LINC01117,0.009741664531984773
RASSF2,0.020498129170902324
PTPRF,0.03481790724795497
RHBDF1,0.03603138692355212
MMP23B,0.03909262998681218
MYBL1,0.010732182907923327
PADI2,0.012425291572747854
TBX21,0.038361932335041926
LRP1B,0.024778604998443532
NUB1,0.020631005016467197
MEF2BNB,0.03422160294218857
DBN1,0.02105855564116077
CEACAM19,0.02145607492853585
CCDC57,0.04928707827149115
SLC4A4,0.04677781945500081
HLA-G,0.019115089432259813
RASIP1,0.004872154245906257
C1QC,0.018343383122960466
MGC57346,0.029638171024031323
ME1,0.04867658537351793
NBR2,0.031864245985344763
MINK1,0.043330551287547814
XCL2,0.03491061355918568
TTLL6,0.036519717057040824
DUXAP8,0.020353676399812004
TIGD1,0.02401593610712216
C9orf135,0.019411429116209966
UNC93B1,0.0389699843804302
ENO1,0.04705713232725439
